Date,Source,Title,Author,Link,Subtitle
2021-11-17,China Digital Times,Interview: Jeremy Brown on June Fourth,Joseph Brouwer,https://chinadigitaltimes.net/2021/11/jeremy-brown-on-june-fourth/,"In China, 2021 has been a year for the history books or, more precisely, their revision. In March, the launch of a hotline to report “historical nihilism” presaged a broader campaign against challenges to the Party’s version of..."
2021-11-17,China Digital Times,Journalist Visa Whipsaw: Correspondent Denied HK Visa; US and China Reach Tentative Thaw on Journalist Visas,Oliver Young,https://chinadigitaltimes.net/2021/11/journalist-visa-whipsaw-correspondent-denied-hk-visa-us-and-china-reach-tentative-thaw-on-journalist-visas/,"On Friday, The Economist issued a press release stating that Hong Kong authorities had refused to renew the employment visa of one of its correspondents, Sue-Lin Wong. An Australian journalist based in Hong Kong, Wong now joins..."
2021-11-24,The Conversation,What the Peng Shuai saga tells us about Beijing’s grip on power and desire to crush a #MeToo moment,"Yan Bennett, John Garrick",https://theconversation.com/what-the-peng-shuai-saga-tells-us-about-beijings-grip-on-power-and-desire-to-crush-a-metoo-moment-172375,What happens when a Chinese #MeToo moment meets authoritarian legality?
2021-11-23,The Conversation,Western luxury brands are entering a risky pact with China’s influencers,Samuel Kwok,https://theconversation.com/western-luxury-brands-are-entering-a-risky-pact-with-chinas-influencers-162055,A disagreement between L'Oréal and two leading Chinese influencers shows how brands can run into difficulties in the modern era.
2021-11-22,The Conversation,Little red children and ‘Grandpa Xi’: China’s school textbooks reflect the rise of Xi Jinping’s personality cult,"Shih-Wen Sue Chen, Sin Wen Lau",https://theconversation.com/little-red-children-and-grandpa-xi-chinas-school-textbooks-reflect-the-rise-of-xi-jinpings-personality-cult-168482,New school textbooks in China focus less on the Chinese Communist Party and more on its figurehead Xi Jinping. The growing cultivation of a personality cult is reminiscent of the days of Mao Zedong.
2021-11-21,The Wire China,Why Is China’s Growth Rate Falling So Fast?,Shang-Jin Wei,https://www.thewirechina.com/2021/11/21/why-is-chinas-growth-rate-falling-so-fast/,"Reversing the slowdown will require policymakers to reform the ways in which they debate, vet, and implement new regulations and pandemic-control measures."
2021-11-21,The Wire China,The Resistible Rise of U.S.-China Conflict,Dani Rodrik,https://www.thewirechina.com/2021/11/21/the-resistible-rise-of-u-s-china-conflict/,"The structure of great-power rivalry may exclude a world of love and harmony, but it does not necessitate a world of immutable conflict."
2021-11-21,The Wire China,Nathan Law on Keeping Hong Kong Relevant,Eliot Chen,https://www.thewirechina.com/2021/11/21/nathan-law-on-keeping-hong-kong-relevant/,The pro-democracy activist talks about how the Hong Kong protests changed international sentiment about China and why the right to self-determination still matters.
2021-11-21,The Wire China,The Refrigerator Revolution,Eliot Chen,https://www.thewirechina.com/2021/11/21/the-refrigerator-revolution/,A look at appliance brand Haier Group and how Chinese companies have come to dominate the industry.
2021-11-21,The Wire China,Trust Games,Anastasiia Carrier,https://www.thewirechina.com/2021/11/21/trust-games/,"The Chinese corporate bond market was designed for lending convenience, not the legal practicality of retrieving money. But with potential defaults by Suning and other..."
2021-11-24,SupChina,Harbin’s Confucius Temple and an embrace of nationalism,James Carter,https://supchina.com/2021/11/24/harbins-confucius-temple-and-an-embrace-of-nationalism/,"Confucius could be controversial for Chinese politicians of the Republican Era. So why, in 1926, did Harbin choose to build a Confucius temple?"
2021-11-23,SupChina,Beijing is targeting Taiwanese companies with links to Tsai’s Democratic Progressive Party,Lucas Niewenhuis,https://supchina.com/2021/11/23/beijing-is-targeting-taiwanese-companies-with-links-to-tsais-democratic-progressive-party/,"Taiwanese conglomerate Far Eastern Group (FEG) was recently fined in mainland China for problems such as “fire safety,” but the real problem appears to be politics: FEG is linked to officials in Taiwan that Beijing considers to be “‘Taiwan independence’ stubborn elements,” whose “affiliates and financial backers must be punished.”"
2021-11-23,SupChina,Chinese tech philanthropy in the age of ‘common prosperity’,Daniel Tam-Claiborne,https://supchina.com/2021/11/23/chinese-tech-philanthropy-in-the-age-of-common-prosperity/,"In China, tech companies are facing particular pressure to showcase social responsibility. Xi Jinping acknowledged that the “new round of technological revolution and industrial transformation is giving a strong impetus to economic development.” However, he also pointed out that its negative effects on employment and income distribution need to be “effectively addressed and resolved.”"
2021-11-23,SupChina,‘Far East Deep South’: Panel discussion on the history and evolution of Afro-Chinese relations in America,Josephine Lau,https://supchina.com/2021/11/23/far-east-deep-south-panel-discussion-on-the-history-and-evolution-of-afro-chinese-relations-in-america/,"“There has to be an intentional effort on both parts to bring our communities and understanding together. I think the more we can have real relationships between our communities, the more we realize that we have more in common than we do differences, and the more we can see each other in a positive light,” says Larissa Lam, Director of Far East Deep South."
2021-11-23,SupChina,Chinese fashion photographer Chen Man apologizes for ‘unthoughtful’ work,Jiayun Feng,https://supchina.com/2021/11/23/chinese-fashion-photographer-chen-man-apologizes-for-past-unthoughtful-work-amid-dior-controversy/,"Chinese internet users are mad at one of China’s most successful photographers. Was she culturally insensitive, or are her critics guilty of a particularly lame version of cancel culture?"
2021-11-22,SupChina,China’s birth rate drops to levels not seen since 1978. Experts say the worst is yet to come.,Jiayun Feng,https://supchina.com/2021/11/22/chinas-birth-rate-drops-to-levels-not-seen-since-1978-experts-say-the-worst-is-yet-to-come/,"Despite Beijing's efforts to alleviate a baby bust, Chinese people stubbornly seem to want fewer marriages and fewer babies. The gravity of the situation is starkly illustrated in China’s latest statistical yearbook."
2021-11-22,SupChina,Blinken downplays China competition on Africa tour,Eric Olander,https://supchina.com/2021/11/22/blinken-downplays-china-competition-on-africa-tour/,"“We don’t want to make you choose” between the U.S. and China, Secretary of State Antony Blinken said on a three-nation tour in Africa, playing down the zero-sum messaging of his predecessors. But with mixed signals from elsewhere in the U.S. government, will African countries take up Blinken’s offer of deeper partnership?"
2021-11-22,SupChina,"Peng Shuai tells IOC she’s fine, but doubts remain",Gerry Harker,https://supchina.com/2021/11/22/peng-shuai-tells-ioc-shes-fine-but-doubts-remain/,The Women’s Tennis Association (WTA) issued a statement that said the recent videos “don't alleviate or address the WTA's concern about her wellbeing and ability to communicate without censorship or coercion.”
2021-11-18,SupChina,Life after China: Catching up with Mark Kitto,Thomas Bird,https://supchina.com/2021/11/18/life-after-china-catching-up-with-mark-kitto/,"He's been a soldier, a metals trader, a publisher, a hotelier, and now an actor. ""I’m a firm believer that you’ve got one life and you’ve got to live it,"" Mark Kitto says. ""I don’t think I ever wanted to be a one-track career person."""
2021-11-18,SupChina,Sports stars tweet support for disappeared tennis champion Peng Shuai after #MeToo allegations against retired Party official,The editors,https://supchina.com/2021/11/18/sports-stars-tweet-support-for-disappeared-tennis-champion-peng-shuai-after-metoo-allegations-against-retired-party-official/,"Today, global furor grew about the apparent disappearance of a Chinese champion tennis player after she made #MeToo allegations against a retired senior official."
2021-11-18,SupChina,"Biden-Xi meeting aftermath: A prisoner swap, and a search for ‘strategic stability’",Lucas Niewenhuis,https://supchina.com/2021/11/18/biden-xi-meeting-aftermath-a-prisoner-swap-and-a-search-for-strategic-stability/,"Three major outcomes of the Biden-Xi meeting are becoming clearer: A journalist visa thaw, nuclear-arms talks of some type, and an apparent prisoner swap involving China lifting an exit ban on one American, while seven Chinese citizens were deported from the U.S."
2021-11-18,SupChina,"Peter Hessler, preeminent China writer, on teaching at Sichuan University in the age of COVID-19",Kaiser Kuo,https://supchina.com/2021/11/18/peter-hessler-preeminent-china-writer-on-teaching-at-sichuan-university-in-the-age-of-covid-19/,"Why did Peter Hessler leave China, after a year of teaching at Sichuan University? The author of four beloved China books talked about his latest work in Egypt, teaching at Sichuan University, China’s unique situation during COVID-19, and the real reasons for his departure on the Sinica Podcast."
2021-11-18,SupChina,"Scan-to-order sweeps across China, to customers’ chagrin",Siyuan Meng,https://supchina.com/2021/11/18/scan-to-order-sweeps-across-china-to-customers-chagrin/,"Increasingly, restaurants across China are implementing a system in which diners scan a QR code and self-order from their phones. But is this a convenience, or a hassle with major data privacy concerns?"
2021-11-17,SupChina,"Naomi Osaka speaks out on Peng Shuai’s disappearance, a situation that China is allegedly unaware of",The editors,https://supchina.com/2021/11/17/naomi-osaka-speaks-out-on-peng-shuais-disappearance-a-situation-that-china-is-allegedly-unaware-of/,"A Chinese tennis star made explosive #MeToo allegations against a former senior government official. Now she has disappeared and the global tennis community is talking about it, but the Chinese government is denying knowledge of the matter."
2021-11-24,ThinkChina,Between a rock and a hard place: Mongolia’s ambivalent relations with China,Loro Horta,https://www.thinkchina.sg/between-rock-and-hard-place-mongolias-ambivalent-relations-china,"Sandwiched between Russia to the north and China to the south, landlocked Mongolia has always had tough choices to make in its foreign policy strategies. Towards China, which it used to be a part of and continues to share kinship ties with the autonomous region of Inner Mongolia, it harbours historical suspicion. But with China being its top export destination and key investment partner, the head may rule the heart."
2021-11-24,ThinkChina,Is Chinese support the main reason for Cambodia's success with pandemic control?,Bradley J. Murg,https://www.thinkchina.sg/chinese-support-main-reason-cambodias-success-pandemic-control,"Cambodia, a lower-middle-income country, has enjoyed relative success in fighting the Covid-19 pandemic. Approximately 88% of the entire Cambodian population has been vaccinated, which makes it ranked 6th globally and only behind Singapore in ASEAN. Some have credited Cambodia’s success as a result of Chinese support, but academic Bradley Murg thinks that many other reasons are just as important."
2021-11-23,ThinkChina,ASEAN-China relations stay robust despite Myanmar's absence from virtual summit,Yang Danxu,https://www.thinkchina.sg/asean-china-relations-stay-robust-despite-myanmars-absence-virtual-summit,"The recent virtual summit commemorating 30 years of ASEAN-China dialogue relations was held without a representative from Myanmar, the second time in a month that Myanmar was absent from the ASEAN family. The Myanmar issue is likely to pull ASEAN on many sides in the days to come, but the fact that the summit went on and concluded with some deliverables speaks for the strength of ASEAN-China relations."
2021-11-23,ThinkChina,US academic: US-centric worldview and hostile policies hindering US-China exchanges,Wu Guo,https://www.thinkchina.sg/us-academic-us-centric-worldview-and-hostile-policies-hindering-us-china-exchanges,"Before rushing to conclude that China is turning inward and isolating itself from the world with its harsh zero-Covid policy, says US academic Wu Guo, the American media should do some soul-searching themselves on how US policies and negative American attitudes towards China have led to dwindling people-to-people contact."
2021-11-22,ThinkChina,Animal protectors and feminists hindering pandemic work in China?,Lorna S. Wei,https://www.thinkchina.sg/animal-protectors-and-feminists-hindering-pandemic-work-china,"Sadly, a Chinese pet owner in Shangrao, Jiangxi province, had the dubious honour of witnessing via pet monitor the culling of her Welsh corgi, right before her eyes. The perpetrators? Covid-19 community workers who have now given their peers a bad name. This is not just an issue of animal rights, Lorna Wei asserts, but also one of privacy and information disclosure, personal safety, and the abuse of power."
2021-11-22,ThinkChina,When a dog of the privileged class in China bites a commoner,Yu Zeyuan,https://www.thinkchina.sg/when-dog-privileged-class-china-bites-commoner,"In the face of surveillance camera footage showing pet dogs biting an 80-year-old lady, it should have been an open-and-shut case. But one such “dog-bites-man” incident in Anyang dragged on for more than two months. The pet owner was believed to be a person of power, and only increasing attention on the case led to an eventual apology. Why did it take so long for someone to do the right thing?"
2021-11-22,ThinkChina,China’s pet industry booms as the post-90s generation seeks to fill a void,Wong Siew Fong,https://www.thinkchina.sg/chinas-pet-industry-booms-post-90s-generation-seeks-fill-void,"The pet economy is thriving in China, driven mostly by the one-child generation who crave an emotional connection and young job seekers taking up “animal communication” gigs during the pandemic. Analysts are optimistic about this sector, where middle class households are more than willing to spend more on the physical and emotional well-being of their furkids. Zaobao correspondent Wong Siew Fong speaks to pet owners and business owners to uncover more about this emerging industry."
2021-11-20,ThinkChina,Professor Wang Gungwu’s Tang Prize 2021 lecture: China’s road from wen to shi,Wang Gungwu,https://www.thinkchina.sg/professor-wang-gungwus-tang-prize-2021-lecture-chinas-road-wen-shi,"Professor Wang Gungwu, recipient of the 2020 Tang Prize in Sinology, delivered a Tang Prize Laureate Lecture at Tang Prize 2021 on 20 November. In tracing China’s history from empire to nation, he relates in tandem his journey of becoming a historian, from being a Chinese overseas in his youth, then returning briefly to the motherland before starting a new life in a new country. “That seemed like the real meaning of my leaving China,” he says, “ requiring me to think as a huaqiao settling down as a citizen of a foreign country... But I did learn that I could leave China but China did not leave me.” Whether in his studies of the Five Dynasties period of the 10th century or Mao’s China and the struggle to find its future after throwing away its own past, he noted that wen (文)-texts supported central power and shaped the system’s collective memory, and were most useful as the shi (史) records of every dynasty. This nexus can perhaps help us understand how one Confucian past could serve to denigrate one set of leaders but provide greater legitimacy for another, and how the continuity of China’s history can be preserved in the future."
2021-11-19,ThinkChina,George Yeo: Charm and China in a multipolar world,George Yeo,https://www.thinkchina.sg/george-yeo-charm-and-china-multipolar-world,"George Yeo, Singapore’s former foreign minister, gave a talk titled “China in a Multipolar World” to students of the Master in Public Administration and Management (MPAM) programme taught in Chinese at the Lee Kuan Yew School of Public Policy on 3 November. He spoke about time and patience needed for a multipolar superstructure to emerge, and for earlier dominant players such as the US to adjust to the new order. In the meantime, it is in China’s interest to master the art of charm, knowing when to go hard or soft in its relations with the US and Europe, its neighbours India and Japan, and issues such as the South China Sea and Taiwan. This is an edited transcript of his speech and excerpts from the Q&A session."
2021-11-19,ThinkChina,Can China pull itself out of the economic doldrums?,Caixin Global,https://www.thinkchina.sg/can-china-pull-itself-out-economic-doldrums,China was the only major economy to expand in 2020 as the Covid-19 pandemic swept across the world. But its regulatory whirlwind over the past year has created uncertainties and headwinds for the economy. Caixin tells us the five key things to watch for as the world’s second-largest economy ploughs through the final quarter of the year.
2021-11-18,ThinkChina,Overseas culprits triggered Tiananmen incident; China will advance under Xi Jinping Thought: CPC's third historical resolution,Yu Zeyuan,https://www.thinkchina.sg/overseas-culprits-triggered-tiananmen-incident-china-will-advance-under-xi-jinping-thought-cpcs,"Last week, the Communist Party of China (CPC) passed a resolution on historical issues, the third such resolution in its 100-year history. Analysing the text of the resolution, Zaobao correspondent Yu Zeyuan looks at the way the CPC has shaped the narrative of the party’s history and how it has defined the guiding role of “Xi Jinping Thought on Socialism with Chinese Characteristics for a New Era” in bringing China to its next lap of development."
2021-11-18,ThinkChina,Resignation of university presidents in Hong Kong: Can politics and education be kept separate?,"China Desk, Lianhe Zaobao",https://www.thinkchina.sg/resignation-university-presidents-hong-kong-can-politics-and-education-be-kept-separate,"Two presidents of prominent universities in Hong Kong have tendered their resignations in quick succession. Were these simply out of personal reasons or had they more to do with their stance on political issues in Hong Kong? If this trend continues, will we see more candidates with mainland Chinese backgrounds taking the helm at top Hong Kong universities? Zaobao’s China Desk finds out."
2021-11-18,ThinkChina,US and China not perceived as climate change leaders in Southeast Asia,"Melinda Martinus, Sharon Seah",https://www.thinkchina.sg/us-and-china-not-perceived-climate-change-leaders-southeast-asia,"Although geopolitics is encroaching onto climate change discussions, a poll shows that Southeast Asians remain objective and pragmatic. Achieving climate goals in the region depends on realpolitik and ASEAN leaders’ shrewdness in tapping resources from all major powers."
2021-11-18,ThinkChina,China and US could work on building clean and green BRI and Build Back Better World (B3W),"Sharon Seah, Melinda Martinus, Ryan Wong",https://www.thinkchina.sg/china-and-us-could-work-building-clean-and-green-bri-and-build-back-better-world-b3w,"The 26th Conference of Parties in Glasgow (COP26) concluded with several high-level political pledges delivered, but it is another matter if they will be followed through. For the Southeast Asian region, Indonesian commitments to the phase down of fossil fuel subsidies and the global goal to end deforestation by 2030 will be critical. The broken promise of climate finance may also affect several Southeast Asian countries' ability to see through their pledges. China's climate leadership on the phasing out of coal has taken a hit but amid the gloom, there are some bright spots, not least China and the US finally finding some common ground."
2021-11-24,The Diplomat,"After 4 Years as Pawn in China-US Game, Seattle Man Is Home",Erika Kinetz,https://thediplomat.com/2021/11/after-4-years-as-pawn-in-china-us-game-seattle-man-is-home/,China’s ability to make deals by effectively taking people like Daniel Hsu hostage has raised concerns.
2021-11-24,The Diplomat,China’s Quest for Greater ‘Discourse Power’,Hugo Jones,https://thediplomat.com/2021/11/chinas-quest-for-greater-discourse-power/,"Distinct from general soft power, China’s discourse power – the ability to set and shape global narratives – is quietly on the rise."
2021-11-24,The Diplomat,AUKUS’ Reception in the Indo-Pacific,,https://thediplomat.com/2021/11/aukus-reception-in-the-indo-pacific/,"Shihoko Goto, Manjari Chatterjee Miller, and Susannah Patton discuss the implications of AUKUS for countries in the region."
2021-11-23,The Diplomat,Moon’s Inter-Korea Peace Process Deadlocked in China-US Tensions,Mitch Shin,https://thediplomat.com/2021/11/moons-inter-korea-peace-process-deadlocked-in-china-us-tensions/,"U.S. President Joe Biden has opened the possibility of a diplomatic boycott for the Beijing Winter Olympics, potentially killing the final hope the Moon administration had to see productive results."
2021-11-23,The Diplomat,Philippine Supply Boats Reach Marines at China-guarded Shoal,Jim Gomez,https://thediplomat.com/2021/11/philippine-supply-boats-reach-marines-at-china-guarded-shoal/,"According to the Philippines' defense secretary, the resupply boats reached the shoal without a Philippine military escort in accordance with a Chinese request."
2021-11-23,The Diplomat,Reviewing China’s New Stealth Fighters,Rick Joe,https://thediplomat.com/2021/11/reviewing-chinas-new-stealth-fighters/,What we know about the twin seat J-20 and carrier-borne FC-31 fighter –  and a mystery tailless airframe captured in satellite imagery.
2021-11-23,The Diplomat,China’s Risky Investments: Wealth Management Products and Corporate Bonds,Sara Hsu,https://thediplomat.com/2021/11/chinas-risky-investments-wealth-management-products-and-corporate-bonds/,Recent missed payments show why these are some of the riskiest assets in China.
2021-11-22,The Diplomat,The Quiet China-Africa Revolution: Chinese Investment,Yike Fu,https://thediplomat.com/2021/11/the-quiet-china-africa-revolution-chinese-investment/,"While loans take the lion’s share of the focus, Chinese FDI in Africa has also been growing at a rapid clip."
2021-11-20,The Diplomat,"Biden, Xi, and the Importance of Guardrails in the US-China Relationship",Ankit Panda,https://thediplomat.com/2021/11/biden-xi-and-the-importance-of-guardrails-in-the-us-china-relationship/,"The United States and China aren’t satisfied with their relationship, but both sides appear to be interested in managing their differences."
2021-11-19,The Diplomat,The Sixth Plenum and the Rise of Traditional Chinese Culture in Socialist Ideology,Zhuoran Li,https://thediplomat.com/2021/11/the-sixth-plenum-and-the-rise-of-traditional-chinese-culture-in-socialist-ideology/,The CCP is turning to traditional culture to bolster its rule and guard against the spread of Western values.
2021-11-19,The Diplomat,Doubts Over Email Raise Concerns for Peng Shuai’s Safety,Huizhong Wu,https://thediplomat.com/2021/11/doubts-over-email-raise-concerns-for-peng-shuais-safety/,The Chinese tennis star has not been seen in public since she posted accusations of sexual assault against a top CCP official.
2021-11-19,The Diplomat,What Hong Kong’s Urban Poor Can Tell Us About Climate Change’s Toll on Public Health,Crystal Chow,https://thediplomat.com/2021/11/what-hong-kongs-urban-poor-can-tell-us-about-climate-changes-toll-on-public-health/,"As Asia’s cities grapple with the growing risk of mosquito-borne diseases amid rising temperatures, collaborative action is key to filling data gaps"
2021-11-18,The Diplomat,China Coast Guard Uses Water Cannon Against Philippine Boats,Jim Gomez,https://thediplomat.com/2021/11/china-coast-guard-uses-water-cannon-against-philippine-boats/,Two Philippine ships headed for Second Thomas Shoal with food supplies for the Filipino forces there were blasted with water by Chinese coast guard vessels.
2021-11-18,The Diplomat,Bhutan-China Border Negotiations in Context,Jianli Yang,https://thediplomat.com/2021/11/bhutan-china-border-negotiations-in-context/,What is behind the latest announcement about resumed border talks between Bhutan and China?
2021-11-22,Foreign Policy,How China Became Jihadis’ New Target,Raffaello Pantucci,https://foreignpolicy.com/2021/11/22/china-jihadi-islamist-terrorism-taliban-uyghurs-afghanistan-militant-groups/,International terrorist organizations long considered Beijing a secondary focus. That’s changed.
2021-11-21,Foreign Policy,The Chinese Communist Party Still Thinks It Owns the Future,"Nathaniel Sher, Sam Bresnick",https://foreignpolicy.com/2021/11/21/the-chinese-communist-party-still-thinks-it-owns-the-future/,"Outsiders might see a peaking power, but China’s leaders don’t."
2021-11-19,Foreign Policy,What’s Going on With China’s Missing Tennis Star?,Chloe Hadavas,https://foreignpolicy.com/2021/11/19/peng-shuai-chinese-missing-tennis-star-beijing-olympics/,Peng Shuai’s disappearance has mobilized the international community—and puts China’s Olympic dreams under even more scrutiny.
2021-11-18,Foreign Policy,Pentagon Quietly Puts More Troops in Taiwan,Jack Detsch,https://foreignpolicy.com/2021/11/18/pentagon-biden-troops-taiwan-china/,Deeper U.S. engagement comes as the wisdom of strategic ambiguity is increasingly questioned.
2021-11-17,Foreign Policy,Biden Struggles to Stick to the Script on Taiwan,"Amy Mackinnon, Anna Weber",https://foreignpolicy.com/2021/11/17/biden-taiwan-china-misspoke-policy-mistake/,"Not for the first time, the U.S. president misspoke about the island at the center of U.S.-China tensions."
2021-11-19,Center for Advanced China Research,Weekly Report 4|51 11.13.2021-11.19.2021,,https://www.ccpwatch.org/single-post/weekly-report-4-51-11-13-2021-11-19-2021,
2021-11-22,Center for Strategic and International Studies,China: The Growing Military Challenge: Volume Two of a Graphic Net Assessment,Anthony H. Cordesman,https://www.csis.org/analysis/china-growing-military-challenge-volume-two-graphic-net-assessment,
2021-11-18,Center for Strategic and International Studies,Look Skeptically at China’s CPTPP Application,Joanna Shelton,https://www.csis.org/analysis/look-skeptically-chinas-cptpp-application,
2021-11-19,MERICS," One Belt, One Voice: Chinese media in Italy",,https://merics.org/en/opinion/one-belt-one-voice-chinese-media-italy,
2021-11-18,MERICS,Big fish in small ponds: China’s subnational diplomacy in Europe,Roderick Kefferpütz,https://merics.org/en/report/big-fish-small-ponds-chinas-subnational-diplomacy-europe,
2021-11-18,MERICS,EU-China Opinion Pool: Rethinking EU-China climate cooperation,,https://merics.org/en/opinion/eu-china-opinion-pool-rethinking-eu-china-climate-cooperation,
2021-11-18,MERICS,China's subnational diplomacy in Germany,Roderick Kefferpütz,https://merics.org/en/report/stadt-land-fluss-im-blick-beijings-chinas-subnationale-diplomatie-deutschland,
2021-11-18,MERICS,China's subnational diplomacy in Europe and Germany,,https://merics.org/en/chinas-subnational-diplomacy-europe-and-germany,
2021-11-17,China Data Lab,Dispersion: How Artists In China Adapt To Censorship,,https://chinadatalab.ucsd.edu/viz-blog/dispersion-how-artists-in-china-adapt-to-censorship/,"Most people following Chinese pop culture would remember the day Hip-Hop was banned. It was significant — not only because of Hip-Hop’s global status, but also because it fit the narrative of an [...]"
2021-11-23,Rhodium Group,China Pathfinder: Q3 2021 Update,"Nargiza Salidjanova, Rachel Lietzow, , Daniel H. Rosen",https://rhg.com/research/china-pathfinder-q3-2021-update/,This quarterly China Pathfinder update is part of a multiyear initiative from the Atlantic Council’s GeoEconomics Center and Rhodium Group to measure China’s system relative...
2021-11-23,Atlantic Council,China Pathfinder: Q3 2021 Update,GeoEconomics Center and Rhodium Group,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/china-pathfinder-q3-2021-update/,"Over the past ten months, teams from the Atlantic Council and Rhodium Group have taken a dive into China’s economy to address a fundamental question: Is China becoming more or less like other open-market economies?"
2021-11-23,Atlantic Council,Competing data governance models threaten the free flow of information and hamper world trade,Hung Tran,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/competing-data-governance-models-threaten-the-free-flow-of-information-and-hamper-world-trade/,The EU framework is comprehensive and puts a strong emphasis on the protection of personal data both from the government and private companies. It also establishes that EU citizens’ data can be transferred only to countries with an adequate privacy protection regime (adequacy to be determined by the European Commission).
2021-11-23,Observer Research Foundation, Closer to the edge,Manoj Joshi,https://www.orfonline.org/research/closer-to-the-edge/?amp," China is populating the rugged Himalayan frontier; India should, too "
2021-11-22,Observer Research Foundation, The EU must support Lithuania against China on Taiwan,Gautam Chikermane,https://www.orfonline.org/expert-speak/the-eu-must-support-lithuania-against-china-on-taiwan/?amp, Lithuania’s recent acknowledgement of Taiwan provides the EU with an opportunity to stand up to China’s bullying tactics 
2021-11-22,Observer Research Foundation, Keeping a close eye on China’s nuclear capabilities,"Harsh V. Pant, Kartik Bommakanti",https://www.orfonline.org/research/keeping-a-close-eye-on-chinas-nuclear-capabilities/?amp," A Pentagon report highlights a transformation in both the quantity and the quality of its arsenal, which India must note "
2021-11-19,Observer Research Foundation, Turbulent times for China’s Big Tech is far from over,Saranya,https://www.orfonline.org/expert-speak/turbulent-times-for-chinas-big-tech-is-far-from-over/?amp, China is instating new measures such as blockchain standardisation and amendment of the Anti-Monopoly Law in an effort to further rein in the Big Tech. 
2021-11-19,Observer Research Foundation," Behind the facade of civility, the reality of the US-China dialogue",Harsh V. Pant,https://www.orfonline.org/research/behind-the-facade-of-civility/?amp," China sees itself as a power that has risen to become a peer of the US and wants its place under the sun, in the process unmasking its aggressive intent. The US is trying to push to retain its pre-eminent global status "
2021-11-18,Observer Research Foundation, China’s new border law: A concern for India,Udayvir Ahuja,https://www.orfonline.org/expert-speak/chinas-new-border-law/?amp," Against the backdrop of Chinese aggression at the border, the new border law by China is setting off alarm bells in India "
2021-11-18,Observer Research Foundation, S-400 CAATSA sanctions ball in US court,Pinak Ranjan Chakravarty,https://www.orfonline.org/research/s-400-caatsa-sanctions-ball-in-us-court/?amp, The US wants to grab a major share of the Indian defence hardware market. But any imposition of sanctions will dampen chances of defence cooperation gaining further traction 
2021-11-24,Australia Strategic Policy Institute,China’s cyber vision: How the Cyberspace Administration of China is building a new consensus on global internet governance,,https://www.aspi.org.au/report/chinas-cyber-vision-how-cyberspace-administration-china-building-new-consensus-global,
2021-11-18,Politico China Watcher,Biden-Xi journalists deal faces criticism,Phelim Kine,https://www.politico.com/newsletters/politico-china-watcher/2021/11/18/biden-xi-journalists-deal-faces-criticism-495145,
2021-11-18,Politico China Direct,China Direct: EU’s winter surprise for China — Xi-Biden summit — German coalition talks,Stuart Lau,https://www.politico.eu/newsletter/china-direct/eus-winter-surprise-for-china-xi-biden-summit-german-coalition-talks/,
2021-11-23,Beijing to Canberra and Back,"China's Taiwan tactics, duelling preconditions, and coal exports",Benjamin Herscovitch,https://beijing2canberra.substack.com/p/chinas-taiwan-tactics-duelling-preconditions,Week of 15 to 21 November 2021
2021-11-21,Eye on China,WMCC Meeting on LAC Friction - The History Resolution - The Two Establishes - 20th Party Congress Election - Biden-Xi Summit Analysis - National Security,Manoj Kewalramani,https://manojkewalramani.substack.com/p/wmcc-meeting-on-lac-friction-the,"Dear subscribers, Before we begin, I’d like to highlight this latest piece from my colleague Suyash Desai for The Jamestown Foundation. The piece discu…"
2021-11-23,ChinaTalk,How to Grok the CCP: The State of Open Source China Research,Callan Quinn,https://chinatalk.substack.com/p/how-to-grok-the-ccp-the-state-of,What one think tanker learned from reading and blogging about the People's Daily every day for two years running
2021-11-22,Pekingnology,"Prof. Zheng Yongnian: SOEs driving force for China-U.S. trade, not an impediment",Zichen Wang,https://pekingnology.substack.com/p/prof-zheng-yongnian-soes-driving,SOEs are deeply-rooted in history and can be reformed in future
2021-11-23,Tracking People's Daily,"China-ASEAN Ties - Li Talks to Provincial Governors - PLA, CPPCC Discuss 6th Plenum - Provincial Secretaries & 6th Plenum Spirit - CPC Outreach to South Asian Left Parties - Xi Thought on Rule of Law",Manoj Kewalramani,https://trackingpeoplesdaily.substack.com/p/china-asean-ties-li-talks-to-provincial,"Here are the stories and pieces from the November 23, 2021, edition of the People’s Daily that I found noteworthy. Page 1: The lead story on the front …"
2021-11-22,Tracking People's Daily,BRI's Future Direction - Wang Yi on US & Taiwan - Huang Kunming: Xi Thought is Key at Home & Revitalising World Socialism,Manoj Kewalramani,https://trackingpeoplesdaily.substack.com/p/bris-future-direction-wang-yi-on,"Here are the stories and pieces from the November 22, 2021, edition of the People’s Daily that I found noteworthy. Page 1: Over the weekend, there was …"
2021-11-19,Tracking People's Daily,"Politburo on National Security - Xi Thought at Heart of 20th Party Congress Election - 8 Years of BRI - Wang Yi warns Japan's FM - Ding Xuexiang on Ideals, Beliefs and Xi's Core Position",Manoj Kewalramani,https://trackingpeoplesdaily.substack.com/p/politburo-on-national-security-xi,"Here are the stories and pieces from the November 19, 2021, edition of the People’s Daily that I found noteworthy. Page 1: Let’s begin with a report ab…"
